Number of total tracking : 31336
Total Time taken : 12:51:49

 | No    | X         | Y          | Heading | Speed | Damage | Date and Time         | 
 |-----------------------------------------------------------------------------------| 
 | 1     | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:27:47 PM  | 
 | 3     | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:09 PM  | 
 | 5     | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:11 PM  | 
 | 7     | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:13 PM  | 
 | 9     | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:15 PM  | 
 | 11    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:17 PM  | 
 | 13    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:19 PM  | 
 | 15    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:21 PM  | 
 | 17    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:23 PM  | 
 | 19    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:25 PM  | 
 | 21    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:27 PM  | 
 | 23    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:29 PM  | 
 | 25    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:31 PM  | 
 | 27    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:33 PM  | 
 | 29    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:35 PM  | 
 | 31    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:37 PM  | 
 | 33    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:39 PM  | 
 | 35    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:41 PM  | 
 | 37    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:28:43 PM  | 
 | 39    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:34:05 PM  | 
 | 41    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:34:07 PM  | 
 | 43    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:34:09 PM  | 
 | 45    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:42 PM  | 
 | 47    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:44 PM  | 
 | 49    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:46 PM  | 
 | 51    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:48 PM  | 
 | 53    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:50 PM  | 
 | 55    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:52 PM  | 
 | 57    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:54 PM  | 
 | 59    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:56 PM  | 
 | 61    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:41:58 PM  | 
 | 63    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:00 PM  | 
 | 65    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:02 PM  | 
 | 67    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:04 PM  | 
 | 69    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:06 PM  | 
 | 71    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:08 PM  | 
 | 73    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:10 PM  | 
 | 75    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:12 PM  | 
 | 77    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:14 PM  | 
 | 79    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:16 PM  | 
 | 81    | 138569.6  | 79873.1    | 50      | 0     | 0      | 12/5/2020 7:42:18 PM  | 
 | 83    | 138569.7  | 79873.55   | 50      | 4     | 0      | 12/5/2020 7:42:20 PM  | 
 | 85    | 138571.3  | 79881.6    | 54      | 21    | 0      | 12/5/2020 7:42:22 PM  | 
 | 87    | 138573.7  | 79889.48   | 55      | 0     | 0      | 12/5/2020 7:42:24 PM  | 
 | 89    | 138573.7  | 79889.48   | 55      | 0     | 0      | 12/5/2020 7:42:26 PM  | 
 | 91    | 138573.7  | 79889.48   | 55      | 0     | 0      | 12/5/2020 7:42:28 PM  | 
 | 93    | 138573.7  | 79889.48   | 55      | 0     | 0      | 12/5/2020 7:42:30 PM  | 
 | 95    | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:32 PM  | 
 | 97    | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:34 PM  | 
 | 99    | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:36 PM  | 
 | 101   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:38 PM  | 
 | 103   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:40 PM  | 
 | 105   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:42 PM  | 
 | 107   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:44 PM  | 
 | 109   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:46 PM  | 
 | 111   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:48 PM  | 
 | 113   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:50 PM  | 
 | 115   | 138573.7  | 79889.49   | 55      | 0     | 0      | 12/5/2020 7:42:52 PM  | 
 | 117   | 138573.8  | 79889.77   | 55      | 1     | 0      | 12/5/2020 7:42:54 PM  | 
 | 119   | 138574    | 79890.53   | 55      | 1     | 0      | 12/5/2020 7:42:56 PM  | 
 | 121   | 138574.3  | 79891.17   | 55      | 1     | 0      | 12/5/2020 7:42:58 PM  | 
 | 123   | 138574.4  | 79891.67   | 55      | 1     | 0      | 12/5/2020 7:43:00 PM  | 
 | 125   | 138575.5  | 79898.16   | 51      | 22    | 0      | 12/5/2020 7:43:02 PM  | 
 | 127   | 138567    | 79908.74   | 33      | 25    | 0      | 12/5/2020 7:43:04 PM  | 
 | 129   | 138554.3  | 79910.06   | 25      | 20    | 0      | 12/5/2020 7:43:06 PM  | 
 | 131   | 138540.1  | 79911.8    | 31      | 33    | 0      | 12/5/2020 7:43:08 PM  | 
 | 133   | 138535.1  | 79932.8    | 51      | 43    | 0      | 12/5/2020 7:43:10 PM  | 
 | 135   | 138539.3  | 79959.19   | 54      | 53    | 0      | 12/5/2020 7:43:12 PM  | 
 | 137   | 138550    | 79988.02   | 57      | 59    | 0      | 12/5/2020 7:43:14 PM  | 
 | 139   | 138563.1  | 80013.91   | 55      | 49    | 0      | 12/5/2020 7:43:16 PM  | 
 | 141   | 138554.5  | 80038.36   | 37      | 54    | 0      | 12/5/2020 7:43:18 PM  | 
 | 143   | 138524.9  | 80057.23   | 35      | 65    | 0      | 12/5/2020 7:43:20 PM  | 
 | 145   | 138492.5  | 80078.48   | 33      | 72    | 0      | 12/5/2020 7:43:22 PM  | 
 | 147   | 138455.4  | 80092.46   | 29      | 80    | 0      | 12/5/2020 7:43:24 PM  | 
 | 149   | 138406.1  | 80105.59   | 29      | 84    | 0      | 12/5/2020 7:43:26 PM  | 
 | 151   | 138365.6  | 80114.27   | 28      | 82    | 0      | 12/5/2020 7:43:28 PM  | 
 | 153   | 138318    | 80125.86   | 29      | 79    | 0      | 12/5/2020 7:43:30 PM  | 
 | 155   | 138277.3  | 80132.09   | 26      | 76    | 0      | 12/5/2020 7:43:32 PM  | 
 | 157   | 138238.1  | 80128.27   | 23      | 73    | 0      | 12/5/2020 7:43:34 PM  | 
