Sort by Speed (avg)
 | No    | X          | Y         | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 |---------------------------------------------------------------------------------------------------------------| 
 | 3707  | 4045.299   | 3873.846  | 0                   | 0           | 0              | 0             | 37      | 
 | 3708  | 4045.296   | 3873.85   | 0.00517900474501866 | 0           | 0              | 0             | 37      | 
 | 3709  | 4045.272   | 3873.874  | 0.0334980155015413  | 0           | 0              | 0             | 37      | 
 | 3710  | 4045.25    | 3873.899  | 0.0336852137085266  | 0           | 0              | 0             | 37      | 
 | 9208  | 2343.532   | 21120.48  | 0                   | 0           | 0              | 0             | 57      | 
 | 9209  | 2343.537   | 21120.49  | 0.0107088438473932  | 0           | 0              | 0             | 57      | 
 | 10031 | 126.9864   | 38326.54  | 6.103515625E-05     | 0           | 0              | 0             | 48      | 
 | 10032 | 126.9864   | 38326.54  | 7.62939453125E-06   | 0           | 0              | 0             | 48      | 
 | 10033 | 126.9833   | 38326.55  | 0.0197729650823075  | 0           | 0              | 0             | 48      | 
 | 11915 | 19113.43   | 70498.62  | 0                   | 0           | 0              | 0             | 6       | 
 | 11916 | 18421.12   | 70809.78  | 759.027256294049    | 0           | 0              | 0             | 59      | 
 | 11917 | 18421.12   | 70809.78  | 0.001953125         | 0           | 0              | 0             | 59      | 
 | 12002 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12003 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12004 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12005 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12006 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12007 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12008 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12009 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12010 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12011 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12012 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12013 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12014 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12015 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12016 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12017 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12018 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12019 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12020 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12021 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12022 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12023 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12024 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12025 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12026 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12027 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12028 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12029 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12030 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12031 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12032 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12033 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12034 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12035 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12036 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12037 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12038 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12039 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
