Number of total tracking : 13229
Max speed : 100
Damage : 4
Time Taken : 03:40:28
 | No    | X         | Y          | Heading | Speed | Damage | Date and Time        | change | 
 |-------------------------------------------------------------------------------------------| 
 | 1     | 18599.67  | 70666.43   | 31      | 5     | 0      | 10/8/2020 6:03:45 PM |        | 
 | 2     | 18598.01  | 70667.13   | 31      | 11    | 0      | 10/8/2020 6:03:46 PM |        | 
 | 3     | 18594.1   | 70669.09   | 33      | 19    | 0      | 10/8/2020 6:03:47 PM |        | 
 | 4     | 18589.05  | 70672.66   | 35      | 26    | 0      | 10/8/2020 6:03:48 PM |        | 
 | 5     | 18583.15  | 70679.02   | 39      | 34    | 0      | 10/8/2020 6:03:49 PM |        | 
 | 6     | 18578.7   | 70687.83   | 44      | 34    | 0      | 10/8/2020 6:03:50 PM |        | 
 | 7     | 18576.45  | 70697.91   | 47      | 40    | 0      | 10/8/2020 6:03:51 PM |        | 
 | 8     | 18575.81  | 70709.7    | 50      | 44    | 0      | 10/8/2020 6:03:52 PM |        | 
 | 9     | 18576.79  | 70721.93   | 52      | 42    | 0      | 10/8/2020 6:03:53 PM |        | 
 | 10    | 18578.13  | 70733.45   | 52      | 43    | 0      | 10/8/2020 6:03:54 PM |        | 
 | 11    | 18580.12  | 70745.59   | 53      | 45    | 0      | 10/8/2020 6:03:55 PM |        | 
 | 12    | 18583.58  | 70758.96   | 55      | 53    | 0      | 10/8/2020 6:03:56 PM |        | 
 | 13    | 18589.45  | 70773.86   | 57      | 61    | 0      | 10/8/2020 6:03:57 PM |        | 
 | 14    | 18597.93  | 70789.62   | 59      | 67    | 0      | 10/8/2020 6:03:58 PM |        | 
 | 15    | 18608.82  | 70805.49   | 60      | 70    | 0      | 10/8/2020 6:03:59 PM |        | 
 | 16    | 18621.86  | 70820.66   | 62      | 71    | 0      | 10/8/2020 6:04:00 PM |        | 
 | 17    | 18636.19  | 70834.7    | 62      | 72    | 0      | 10/8/2020 6:04:01 PM |        | 
 | 18    | 18649.67  | 70850.3    | 60      | 77    | 0      | 10/8/2020 6:04:02 PM |        | 
 | 19    | 18661.64  | 70869.61   | 58      | 82    | 0      | 10/8/2020 6:04:03 PM |        | 
 | 20    | 18671.62  | 70890.23   | 57      | 87    | 0      | 10/8/2020 6:04:04 PM |        | 
 | 21    | 18682.31  | 70913.72   | 56      | 92    | 0      | 10/8/2020 6:04:05 PM |        | 
 | 22    | 18691.48  | 70938.16   | 55      | 95    | 0      | 10/8/2020 6:04:06 PM |        | 
 | 23    | 18698.24  | 70963.35   | 53      | 98    | 0      | 10/8/2020 6:04:07 PM |        | 
 | 24    | 18702.45  | 70991.23   | 52      | 100   | 0      | 10/8/2020 6:04:08 PM | speed  | 
 | 25    | 18703.89  | 71020.14   | 50      | 99    | 0      | 10/8/2020 6:04:09 PM | speed  | 
 | 26    | 18702.9   | 71048.29   | 49      | 100   | 0      | 10/8/2020 6:04:10 PM | speed  | 
 | 27    | 18700.96  | 71078.99   | 49      | 99    | 0      | 10/8/2020 6:04:11 PM | speed  | 
 | 28    | 18700.61  | 71109.37   | 50      | 99    | 0      | 10/8/2020 6:04:12 PM | speed  | 
 | 29    | 18702.03  | 71140.03   | 51      | 99    | 0      | 10/8/2020 6:04:13 PM | speed  | 
 | 30    | 18701.75  | 71169.82   | 47      | 98    | 0      | 10/8/2020 6:04:14 PM |        | 
 | 31    | 18690.64  | 71187.76   | 37      | 63    | 0      | 10/8/2020 6:04:15 PM |        | 
 | 32    | 18675.1   | 71193.91   | 28      | 57    | 0      | 10/8/2020 6:04:16 PM |        | 
 | 33    | 18658.71  | 71196.2    | 27      | 61    | 0      | 10/8/2020 6:04:17 PM |        | 
 | 34    | 18640.6   | 71198.3    | 27      | 67    | 0      | 10/8/2020 6:04:18 PM |        | 
 | 35    | 18621.87  | 71200.73   | 27      | 70    | 0      | 10/8/2020 6:04:19 PM |        | 
 | 36    | 18602.63  | 71203.66   | 27      | 69    | 0      | 10/8/2020 6:04:20 PM |        | 
 | 37    | 18583.41  | 71206.74   | 28      | 71    | 0      | 10/8/2020 6:04:21 PM |        | 
 | 38    | 18563.3   | 71209.85   | 27      | 75    | 0      | 10/8/2020 6:04:22 PM |        | 
 | 39    | 18541.52  | 71211.99   | 26      | 82    | 0      | 10/8/2020 6:04:23 PM |        | 
 | 40    | 18517.64  | 71213.71   | 27      | 90    | 0      | 10/8/2020 6:04:24 PM |        | 
 | 41    | 18492.67  | 71212.2    | 20      | 85    | 0      | 10/8/2020 6:04:25 PM |        | 
 | 42    | 18477.7   | 71199.91   | 10      | 59    | 0      | 10/8/2020 6:04:26 PM |        | 
 | 43    | 18473.07  | 71184.46   | 3       | 60    | 0      | 10/8/2020 6:04:27 PM |        | 
 | 44    | 18470.63  | 71167.27   | 2       | 64    | 0      | 10/8/2020 6:04:28 PM |        | 
 | 45    | 18467.63  | 71149.11   | 3       | 69    | 0      | 10/8/2020 6:04:29 PM |        | 
 | 46    | 18464.11  | 71130.21   | 3       | 71    | 0      | 10/8/2020 6:04:30 PM |        | 
 | 47    | 18461.03  | 71109.54   | 2       | 74    | 0      | 10/8/2020 6:04:31 PM |        | 
 | 48    | 18456.19  | 71088.7    | 5       | 78    | 0      | 10/8/2020 6:04:32 PM |        | 
 | 49    | 18448.57  | 71067.69   | 6       | 82    | 0      | 10/8/2020 6:04:33 PM |        | 
 | 50    | 18437.7   | 71047.55   | 10      | 85    | 0      | 10/8/2020 6:04:34 PM |        | 
 | 51    | 18420.23  | 71029.98   | 13      | 89    | 0      | 10/8/2020 6:04:35 PM |        | 
 | 52    | 18403.08  | 71011.28   | 11      | 93    | 0      | 10/8/2020 6:04:36 PM |        | 
 | 53    | 18390.46  | 70988.8    | 5       | 91    | 0      | 10/8/2020 6:04:37 PM |        | 
 | 54    | 18392.18  | 70967.78   | 94      | 64    | 0      | 10/8/2020 6:04:38 PM |        | 
 | 55    | 18403.12  | 70954.66   | 86      | 62    | 0      | 10/8/2020 6:04:39 PM |        | 
 | 56    | 18417.55  | 70944.83   | 84      | 65    | 0      | 10/8/2020 6:04:40 PM |        | 
 | 57    | 18434.59  | 70935.82   | 82      | 69    | 0      | 10/8/2020 6:04:41 PM |        | 
 | 58    | 18450.73  | 70925.53   | 86      | 70    | 0      | 10/8/2020 6:04:42 PM |        | 
 | 59    | 18461.03  | 70908.52   | 95      | 71    | 0      | 10/8/2020 6:04:43 PM |        | 
 | 60    | 18460.64  | 70888.31   | 3       | 75    | 0      | 10/8/2020 6:04:44 PM |        | 
 | 61    | 18454.16  | 70867.6    | 6       | 80    | 0      | 10/8/2020 6:04:45 PM |        | 
 | 62    | 18444.4   | 70847.29   | 7       | 83    | 0      | 10/8/2020 6:04:46 PM |        | 
 | 63    | 18434.77  | 70828.91   | 8       | 66    | 0      | 10/8/2020 6:04:47 PM |        | 
 | 64    | 18426.96  | 70816.88   | 10      | 34    | 0      | 10/8/2020 6:04:48 PM |        | 
 | 65    | 18423.54  | 70812.13   | 10      | 11    | 0      | 10/8/2020 6:04:49 PM |        | 
 | 66    | 18422.46  | 70810.64   | 10      | 0     | 0      | 10/8/2020 6:04:50 PM |        | 
 | 67    | 19112.11  | 70497.45   | 56      | 0     | 0      | 10/8/2020 6:04:51 PM |        | 
 | 68    | 19112.47  | 70498.38   | 56      | 7     | 0      | 10/8/2020 6:04:52 PM |        | 
 | 69    | 19113.82  | 70501.78   | 56      | 17    | 0      | 10/8/2020 6:04:53 PM |        | 
 | 70    | 19116.24  | 70507.74   | 56      | 27    | 0      | 10/8/2020 6:04:54 PM |        | 
 | 71    | 19119.3   | 70515.41   | 56      | 32    | 0      | 10/8/2020 6:04:55 PM |        | 
 | 72    | 19122.75  | 70525.4    | 55      | 41    | 0      | 10/8/2020 6:04:56 PM |        | 
 | 73    | 19126.36  | 70536.73   | 55      | 47    | 0      | 10/8/2020 6:04:57 PM |        | 
 | 74    | 19130.63  | 70550.67   | 55      | 55    | 0      | 10/8/2020 6:04:58 PM |        | 
 | 75    | 19135.73  | 70565.95   | 55      | 62    | 0      | 10/8/2020 6:04:59 PM |        | 
 | 76    | 19142.05  | 70583.37   | 56      | 68    | 0      | 10/8/2020 6:05:00 PM |        | 
 | 77    | 19148.62  | 70601.63   | 55      | 70    | 0      | 10/8/2020 6:05:01 PM |        | 
 | 78    | 19154.55  | 70619.81   | 55      | 72    | 0      | 10/8/2020 6:05:02 PM |        | 
 | 79    | 19161.71  | 70639.61   | 56      | 76    | 0      | 10/8/2020 6:05:03 PM |        | 
 | 80    | 19169.53  | 70660.19   | 56      | 81    | 0      | 10/8/2020 6:05:04 PM |        | 
 | 81    | 19176.85  | 70682.34   | 55      | 86    | 0      | 10/8/2020 6:05:05 PM |        | 
 | 82    | 19182.99  | 70704.35   | 54      | 84    | 0      | 10/8/2020 6:05:06 PM |        | 
 | 83    | 19187.64  | 70728.41   | 52      | 86    | 0      | 10/8/2020 6:05:07 PM |        | 
 | 84    | 19189.64  | 70753.05   | 51      | 90    | 0      | 10/8/2020 6:05:08 PM |        | 
 | 85    | 19189.51  | 70778.89   | 50      | 94    | 0      | 10/8/2020 6:05:09 PM |        | 
 | 86    | 19188.99  | 70805.35   | 50      | 95    | 0      | 10/8/2020 6:05:10 PM |        | 
