Number of tracking points : 15668
Max speed : 103(old) -> 103(new)
Damage : 0(old) -> 0(new)
Total Time taken old tracking file : 12:51:49
Total Time taken new tracking file : 12:51:49

 | No    | X                      | Y                        | Heading    | Speed      | Damage | Date and Time                                  | 
 |-----------------------------------------------------------------------------------------------------------------------------------------------| 
 | 1     | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:27:47 PM -> 12/7/2020 7:43:17 PM   | 
 | 3     | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:09 PM -> 12/7/2020 7:43:39 PM   | 
 | 5     | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:11 PM -> 12/7/2020 7:43:41 PM   | 
 | 7     | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:13 PM -> 12/7/2020 7:43:43 PM   | 
 | 9     | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:15 PM -> 12/7/2020 7:43:45 PM   | 
 | 11    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:17 PM -> 12/7/2020 7:43:47 PM   | 
 | 13    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:19 PM -> 12/7/2020 7:43:49 PM   | 
 | 15    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:21 PM -> 12/7/2020 7:43:51 PM   | 
 | 17    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:23 PM -> 12/7/2020 7:43:53 PM   | 
 | 19    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:25 PM -> 12/7/2020 7:43:55 PM   | 
 | 21    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:27 PM -> 12/7/2020 7:43:57 PM   | 
 | 23    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:29 PM -> 12/7/2020 7:43:59 PM   | 
 | 25    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:31 PM -> 12/7/2020 7:44:01 PM   | 
 | 27    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:33 PM -> 12/7/2020 7:44:03 PM   | 
 | 29    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:35 PM -> 12/7/2020 7:44:05 PM   | 
 | 31    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:37 PM -> 12/7/2020 7:44:07 PM   | 
 | 33    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:39 PM -> 12/7/2020 7:44:09 PM   | 
 | 35    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:41 PM -> 12/7/2020 7:44:11 PM   | 
 | 37    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:28:43 PM -> 12/7/2020 7:44:13 PM   | 
 | 39    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:34:05 PM -> 12/7/2020 7:49:35 PM   | 
 | 41    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:34:07 PM -> 12/7/2020 7:49:37 PM   | 
 | 43    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:34:09 PM -> 12/7/2020 7:49:39 PM   | 
 | 45    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:41:42 PM -> 12/7/2020 7:57:12 PM   | 
 | 47    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:41:44 PM -> 12/7/2020 7:57:14 PM   | 
 | 49    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:41:46 PM -> 12/7/2020 7:57:16 PM   | 
